Store Name,Address,Phone Number,Manager Name,Store Type,Latitude,Longitude
Bristol,"10-12 Cave Street, Bristol, BS2 8RU",235-(361)747-9332,Eugene Brooks,Superstore,51.461828,-2.586713
Worcester,82 Waxwing Trail,251-(373)785-2118,Rose Kelley,Superstore,,
Orito,71992 Del Mar Crossing,57-(370)217-9621,Phillip Castillo,Online Collection Only,,
Cuyotenango,59489 Elmside Parkway,502-(548)450-7368,Theresa Long,Online Collection Only,,
Delareyville,490 Shasta Center,27-(104)717-6210,Jane Stanley,Proctors Local,,
Kumbo,8 Logan Point,237-(603)177-9962,Matthew Woods,Online Collection Only,,
Puyuan,9 Pierstorff Parkway,86-(622)901-9742,Ernest Murray,Proctors Local,,
San Diego,34 Melvin Junction,1-(619)175-1533,Maria Montgomery,Proctors Local,,
Margotuhu Kidul,97596 Vernon Terrace,62-(447)634-4987,Judy Shaw,Proctors Local,,
Suay,3064 Lukken Parkway,63-(282)101-2998,Sharon Montgomery,Proctors Local,,
Huashi,060 Milwaukee Circle,86-(786)183-7031,Kevin Peters,Online Collection Only,,
Nifuboko,138 Evergreen Road,62-(312)354-2670,Anna Lewis,Superstore,,
Batad,3 Brickson Park Street,63-(577)918-7725,Roger Hudson,Superstore,,
Srbinovo,5653 Banding Parkway,389-(255)274-0500,Lawrence Sanchez,Online Collection Only,,
Sindangrasa,58 Vera Circle,62-(334)667-6775,Tammy Gilbert,Proctors Local,-7.3933,108.378
Lian,36 Duke Road,86-(328)653-5635,Diana Bell,Proctors Local,,
Leicester,05417 Mayer Lane,420-(379)369-0561,Martin Burton,Superstore,,
Karasgede,25312 Debs Plaza,62-(929)435-6240,Gary Ferguson,Online Collection Only,,
Dresden,48 Haas Terrace,49-(671)138-0246,Jeremy Peterson,Superstore,,
Jiangcheng,959 Chive Center,86-(367)912-1741,Janice Dunn,Proctors Local,,
Babakan,07 Anhalt Crossing,62-(737)448-9579,Edward Wright,Superstore,,
Santa Rosa,5612 Iowa Parkway,598-(516)196-8374,Robert Ramirez,Online Collection Only,,
